timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716628374970,156,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-9,text,true,,1949,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,156,0,0
1716628369972,158,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1944,872,10,10,null,0,4997,0
1716628369969,158,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,1945,872,10,10,null,0,5000,0
1716628374970,158,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-3,text,true,,1944,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,157,0,0
1716628374970,158,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-5,text,true,,1945,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,157,0,0
1716628369977,158,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1941,872,10,10,null,0,4994,0
1716628374971,158,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-1,text,true,,1941,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,158,0,0
1716628369974,160,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1943,872,10,10,null,0,4997,0
1716628374971,160,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-2,text,true,,1943,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,160,0,0
1716628369974,160,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,1947,872,10,10,null,0,4997,0
1716628374971,160,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-10,text,true,,1947,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,160,0,0
1716628369977,176,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,1947,872,10,10,null,0,4993,0
1716628374971,176,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-7,text,true,,1947,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,176,0,0
1716628369980,184,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,1948,872,10,10,null,0,5008,0
1716628374989,184,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-8,text,true,,1948,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,184,0,0
1716628369980,184,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,1941,872,10,10,null,0,5009,0
1716628374989,184,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-6,text,true,,1941,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,184,0,0
1716628375127,438,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,4256,3127,10,10,null,0,10002,0
1716628380122,286,/actions/Account.action-87,200,,Thread Group 1-9,text,true,,2244,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1716628380122,145,/actions/Account.action-87-0,302,,Thread Group 1-9,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,145,0,0
1716628380267,141,/actions/Account.action-87-1,200,,Thread Group 1-9,text,true,,2014,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,140,0,0
1716628385415,152,/actions/Catalog.action-91,200,,Thread Group 1-9,text,true,,2012,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1716628375127,437,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,4252,3127,10,10,null,0,10004,0
1716628380122,285,/actions/Account.action-87,200,,Thread Group 1-4,text,true,,2239,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1716628380122,145,/actions/Account.action-87-0,302,,Thread Group 1-4,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,145,0,0
1716628380267,140,/actions/Account.action-87-1,200,,Thread Group 1-4,text,true,,2009,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,139,0,0
1716628385415,152,/actions/Catalog.action-91,200,,Thread Group 1-4,text,true,,2013,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1716628375129,445,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,4252,3127,10,10,null,0,9995,0
1716628380122,292,/actions/Account.action-87,200,,Thread Group 1-5,text,true,,2242,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,147,0,0
1716628380122,147,/actions/Account.action-87-0,302,,Thread Group 1-5,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,147,0,0
1716628380270,144,/actions/Account.action-87-1,200,,Thread Group 1-5,text,true,,2012,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,143,0,0
1716628385415,153,/actions/Catalog.action-91,200,,Thread Group 1-5,text,true,,2010,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,153,0,0
1716628375129,447,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,4240,3127,10,10,null,0,9994,0
1716628380122,292,/actions/Account.action-87,200,,Thread Group 1-3,text,true,,2229,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,147,0,0
1716628380122,147,/actions/Account.action-87-0,302,,Thread Group 1-3,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,147,0,0
1716628380269,145,/actions/Account.action-87-1,200,,Thread Group 1-3,text,true,,1999,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1716628385415,155,/actions/Catalog.action-91,200,,Thread Group 1-3,text,true,,2011,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,154,0,0
1716628375130,448,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,4251,3127,10,10,null,0,9994,0
1716628380123,292,/actions/Account.action-87,200,,Thread Group 1-1,text,true,,2239,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,146,0,0
1716628380123,146,/actions/Account.action-87-0,302,,Thread Group 1-1,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,146,0,0
1716628380270,145,/actions/Account.action-87-1,200,,Thread Group 1-1,text,true,,2009,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1716628385416,156,/actions/Catalog.action-91,200,,Thread Group 1-1,text,true,,2012,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,154,0,0
1716628375132,442,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,4252,3127,10,10,null,0,10011,0
1716628375132,443,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,4253,3127,10,10,null,0,10010,0
1716628380140,289,/actions/Account.action-87,200,,Thread Group 1-10,text,true,,2242,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,147,0,0
1716628380140,290,/actions/Account.action-87,200,,Thread Group 1-2,text,true,,2241,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,148,0,0
1716628380140,147,/actions/Account.action-87-0,302,,Thread Group 1-10,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,147,0,0
1716628380140,148,/actions/Account.action-87-0,302,,Thread Group 1-2,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,148,0,0
1716628380288,141,/actions/Account.action-87-1,200,,Thread Group 1-10,text,true,,2012,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,140,0,0
1716628380288,142,/actions/Account.action-87-1,200,,Thread Group 1-2,text,true,,2011,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,141,0,0
1716628385432,153,/actions/Catalog.action-91,200,,Thread Group 1-10,text,true,,2010,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,152,0,0
1716628385432,153,/actions/Catalog.action-91,200,,Thread Group 1-2,text,true,,2012,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,152,0,0
